#,Name,Catch Rate,HP,Male,Female,Egg Group,Held Item,Location
1,Bulbasaur,45,45,87.50%,12.50%,"Monster, Plant",None,Grass | Kanto | Route 5 | Rare | Lvl.10
Grass | Kanto | Route 22 | Uncommon | Lvl.3-5
Grass | Kanto | Route 23 | Rare | Lvl.38-42
Grass | Kanto | Ruin Valley | Uncommon | Lvl.50-52
Grass | Kanto | Treasure Beach | Common | Lvl.36-38
Grass | Kanto | Water Path | Rare | Lvl.48-50
Grass | Sinnoh | Route 225 | Rare | Lvl.47
Grass | Sinnoh | Route 226 (Morning/Day) | Rare | Lvl.47"
22,Fearow,90,65,50%,50%,Flying,Sharp Beak,"Grass | Kanto | Canyon Entrance | Uncommon | Lvl.48-50
Grass | Kanto | Cape Brink | Uncommon | Lvl.41-43
Grass | Kanto | Kindle Road | Uncommon | Lvl.37-39
Grass | Kanto | Mt. Ember | Common | Lvl.40-42
Grass | Kanto | Route 9 (Morning/Day) | Rare | Lvl.20
Grass | Kanto | Route 10 (Morning/Day) | Rare | Lvl.20
Grass | Kanto | Route 16 | Uncommon | Lvl.22-25
Grass | Kanto | Route 17 | Uncommon | Lvl.26-28
Grass | Kanto | Route 18 | Uncommon | Lvl.28-30
Grass | Kanto | Route 23 | Uncommon | Lvl.40-44
Grass | Kanto | Ruin Valley | Common | Lvl.50-52
Grass | Kanto | Sevault Canyon | Uncommon | Lvl.50-52
Grass | Kanto | Treasure Beach | Common | Lvl.37-39
Grass | Kanto | Water Path | Uncommon | Lvl.48-50
Grass | Unova | Route 15 | Very Common | Lvl.48-50
Dark Grass | Unova | Route 15 | Common | Lvl.53-55
Grass | Sinnoh | Route 225 | Very Common | Lvl.50-52
Grass | Sinnoh | Route 226 (Morning/Day) | Uncommon | Lvl.51-53
Grass | Sinnoh | Route 227 | Common | Lvl.51-53
Grass | Sinnoh | Stark Mountain | Common | Lvl.54-55"
23,Ekans,255,35,50%,50%,"Field, Dragon",None,"Grass | Kanto | Route 3 | Uncommon | Lvl.6-7
Grass | Kanto | Route 4 | Uncommon | Lvl.8-12
Grass | Kanto | Route 8 | Uncommon | Lvl.18-20
Grass | Kanto | Route 9 | Uncommon | Lvl.14-17
Grass | Kanto | Route 10 | Rare | Lvl.14-17
Grass | Kanto | Route 11 | Common | Lvl.12-16
Grass | Kanto | Route 23 | Rare | Lvl.38-42"
24,Arbok,90,60,50%,50%,"Field, Dragon","Poison Barb, Shed Shell","Grass | Kanto | Route 23 | Uncommon | Lvl.44
Cave | Kanto | Victory Road | Rare | Lvl.44-46"
25,Pikachu,190,35,50%,50%,"Field, Fairy","Light Ball, Oran Berry","Inside | Kanto | Power Plant | Common | Lvl.28-30
Grass | Kanto | Route 1 | Very Rare | Lvl.2
Grass | Kanto | Viridian Forest | Uncommon | Lvl.5-7
Grass | Hoenn | Safari Zone | Uncommon | Lvl.28-30
Grass | Sinnoh | Trophy Garden | Very Common | Lvl.22-24"
27,Sandshrew,255,50,50%,50%,Field,"Grip Claw, Quick Claw","Cave | Kanto | Mt. Moon | Uncommon | Lvl.7-10
Grass | Kanto | Route 3 | Uncommon | Lvl.6-7
Grass | Kanto | Route 4 | Uncommon | Lvl.8-12
Grass | Kanto | Route 8 | Uncommon | Lvl.18-20
Grass | Kanto | Route 9 | Uncommon | Lvl.14-17
Grass | Kanto | Route 10 | Rare | Lvl.14-17
Grass | Kanto | Route 11 | Uncommon | Lvl.12-16
Grass | Kanto | Route 23 | Rare | Lvl.38-42
Cave | Hoenn | Mirage Tower | Very Common | Lvl.20-23
Grass | Hoenn | Route 111 | Very Common | Lvl.20-23
Grass | Hoenn | Route 113 | Common | Lvl.15-18"
28,Sandslash,90,75,50%,50%,Field,"Grip Claw, Quick Claw, Soft Sand","Grass | Kanto | Route 23 | Uncommon | Lvl.44
Cave | Kanto | Victory Road | Rare | Lvl.44-46
Cave | Unova | Relic Castle | Common | Lvl.47-50"
29,Nidoranâ™€,235,55,0%,100%,"Monster, Field",None,"Grass | Kanto | Route 2 | Uncommon | Lvl.4-6
Grass | Kanto | Route 3 | Uncommon | Lvl.6-7
Grass | Kanto | Route 9 | Uncommon | Lvl.14-17
Grass | Kanto | Route 10 | Rare | Lvl.14-17
Grass | Kanto | Route 22 | Uncommon | Lvl.3-5
Grass | Kanto | Safari Zone | Uncommon | Lvl.24-26"
30,Nidorina,120,70,0%,100%,"Monster, Field",None,"Grass | Kanto | Route 9 | Rare | Lvl.16-18
Grass | Kanto | Route 10 | Rare | Lvl.16-18
Grass | Kanto | Route 13 | Rare | Lvl.26-28
Grass | Kanto | Route 14 | Rare | Lvl.28-30
Grass | Kanto | Route 15 | Uncommon | Lvl.28-30
Grass | Kanto | Route 23 | Uncommon | Lvl.40-42
Grass | Kanto | Safari Zone | Rare | Lvl.31"
32,Nidoranâ™‚,235,46,100%,0%,"Monster, Field",None,"Grass | Kanto | Route 2 | Uncommon | Lvl.4-6
Grass | Kanto | Route 3 | Uncommon | Lvl.6-7
Grass | Kanto | Route 9 | Uncommon | Lvl.14-17
Grass | Kanto | Route 10 | Rare | Lvl.14-17
Grass | Kanto | Route 22 | Uncommon | Lvl.3-5
Grass | Kanto | Safari Zone | Uncommon | Lvl.24-26"
33,Nidorino,120,61,100%,0%,"Monster, Field",None,"Grass | Kanto | Route 9 | Rare | Lvl.16-18
Grass | Kanto | Route 10 | Rare | Lvl.16-18
Grass | Kanto | Route 13 | Rare | Lvl.26-28
Grass | Kanto | Route 14 | Rare | Lvl.28-30
Grass | Kanto | Route 15 | Uncommon | Lvl.28-30
Grass | Kanto | Route 23 | Uncommon | Lvl.40-42
Grass | Kanto | Safari Zone | Rare | Lvl.31"
35,Clefairy,150,70,25%,75%,Fairy,"Moon Stone, Comet Shard","Cave | Kanto | Mt. Moon | Uncommon | Lvl.8-12
Grass | Kanto | Route 3 (Night) | Rare | Lvl.6-7
Grass | Kanto | Route 4 (Night) | Rare | Lvl.8-12
Grass | Unova | Giant Chasm | Rare | Lvl.52-54
Dark Grass | Unova | Giant Chasm | Rare | Lvl.57-59
Cave | Sinnoh | Mt. Coronet | Uncommon | Lvl.13-42
Grass | Sinnoh | Mt. Coronet | Uncommon | Lvl.38-39"
37,Vulpix,190,38,25%,75%,Field,"Charcoal, Rawst Berry","Inside | Kanto | Pokémon Mansion | Uncommon | Lvl.30-32
Grass | Kanto | Route 5 | Rare | Lvl.12-14
Grass | Kanto | Route 6 | Rare | Lvl.12-14
Grass | Kanto | Route 7 | Uncommon | Lvl.19-22
Grass | Kanto | Route 8 | Uncommon | Lvl.19-22
Grass | Hoenn | Mt. Pyre | Common | Lvl.29-31
Grass | Unova | Abundant Shrine | Common | Lvl.47
Dark Grass | Unova | Abundant Shrine | Common | Lvl.52"
39,Jigglypuff,170,115,25%,75%,Fairy,"Oran Berry, Moon Stone","Grass | Kanto | Route 3 | Rare | Lvl.5-7
Grass | Kanto | Route 4 | Rare | Lvl.8-12
Grass | Kanto | Route 5 | Rare | Lvl.12-15
Grass | Kanto | Route 6 | Rare | Lvl.12-15
Grass | Kanto | Route 7 | Rare | Lvl.17-18
Grass | Kanto | Route 8 | Rare | Lvl.17-18
Grass | Hoenn | Route 115 | Common | Lvl.24-25
Grass | Unova | Route 14 | Common | Lvl.48
Dark Grass | Unova | Route 14 | Common | Lvl.53"
41,Zubat,255,40,50%,50%,Flying,None,"Cave | Kanto | Altering Cave | Uncommon | Lvl.8-25
Cave | Kanto | Diglett's Cave | Uncommon | Lvl.15-18
Cave | Kanto | Icefall Cave | Uncommon | Lvl.48-50
Cave | Kanto | Lost Cave | Uncommon | Lvl.50-52
Cave | Kanto | Mt. Moon | Very Common | Lvl.7-11
Inside | Kanto | Pokémon Tower | Uncommon | Lvl.15-19
Cave | Kanto | Rock Tunnel | Common | Lvl.15-16
Grass | Kanto | Route 3 (Night) | Uncommon | Lvl.6-8
Grass | Kanto | Route 4 (Night) | Uncommon | Lvl.8-12
Grass | Kanto | Route 9 (Night) | Rare | Lvl.14-17
Grass | Kanto | Route 10 (Night) | Rare | Lvl.14-17
Cave | Kanto | Seafoam Islands | Uncommon | Lvl.26-32
Cave | Kanto | Victory Road | Rare | Lvl.42-46
Cave | Hoenn | Altering Cave | Uncommon | Lvl.8-25
Cave | Hoenn | Granite Cave | Very Common | Lvl.9-13
Water | Hoenn | Meteor Falls | Common | Lvl.20-40
Cave | Hoenn | Meteor Falls | Uncommon | Lvl.16-20
Water | Hoenn | Scorched Slab | Very Common | Lvl.25-30
Cave | Hoenn | Seafloor Cavern | Uncommon | Lvl.33-36
Water | Hoenn | Seafloor Cavern | Uncommon | Lvl.30-35
Water | Hoenn | Sealed Chamber | Uncommon | Lvl.30-40
Cave | Hoenn | Shoal Cave | Uncommon | Lvl.31
Water | Hoenn | Shoal Cave | Uncommon | Lvl.30-35
Cave | Hoenn | Victory Road | Very Rare | Lvl.36-38
Grass | Sinnoh | Acuity Lakefront (Night) | Uncommon | Lvl.35
Cave | Sinnoh | Iron Island | Very Rare | Lvl.30
Cave | Sinnoh | Mt. Coronet | Rare | Lvl.14-19
Water | Sinnoh | Mt. Coronet | Very Common | Lvl.20-30
Cave | Sinnoh | Oreburgh Gate | Very Common | Lvl.5-10
Water | Sinnoh | Oreburgh Gate | Very Common | Lvl.20-30
Cave | Sinnoh | Oreburgh Mine | Common | Lvl.6-10
Cave | Sinnoh | Ravaged Path | Very Common | Lvl.4-6
Water | Sinnoh | Ravaged Path | Very Common | Lvl.20-30
Grass | Sinnoh | Route 203 (Night) | Uncommon | Lvl.4-5
Grass | Sinnoh | Route 204 (Night) | Uncommon | Lvl.3-8
Grass | Sinnoh | Route 206 (Night) | Uncommon | Lvl.17
Grass | Sinnoh | Route 207 (Night) | Uncommon | Lvl.5-6
Grass | Sinnoh | Route 208 (Night) | Uncommon | Lvl.19
Cave | Sinnoh | Route 209 | Very Common | Lvl.17-21
Grass | Sinnoh | Route 209 (Night) | Uncommon | Lvl.19
Grass | Sinnoh | Route 211 (Night) | Uncommon | Lvl.14-28
Grass | Sinnoh | Route 214 (Night) | Uncommon | Lvl.22
Grass | Sinnoh | Route 216 (Night) | Uncommon | Lvl.32-33
Grass | Sinnoh | Route 217 (Night) | Uncommon | Lvl.35
Cave | Sinnoh | Wayward Cave | Common | Lvl.17-19"
42,Golbat,90,75,50%,50%,Flying,None,"Cave | Kanto | Cerulean Cave | Rare | Lvl.54-60
Cave | Kanto | Icefall Cave | Uncommon | Lvl.48-50
Cave | Kanto | Lost Cave | Common | Lvl.50-52
Inside | Kanto | Pokémon Tower | Rare | Lvl.22
Cave | Kanto | Seafoam Islands | Rare | Lvl.26-34
Cave | Kanto | Victory Road | Uncommon | Lvl.44-46
Cave | Hoenn | Cave Of Origin | Very Common | Lvl.33-36
Cave | Hoenn | Meteor Falls | Very Common | Lvl.37-45
Water | Hoenn | Meteor Falls | Very Common | Lvl.30-40
Cave | Hoenn | Scorched Slab | Very Common | Lvl.26-29
Water | Hoenn | Scorched Slab | Very Common | Lvl.25-30
Cave | Hoenn | Seafloor Cavern | Very Common | Lvl.33-36
Water | Hoenn | Seafloor Cavern | Common | Lvl.30-35
Water | Hoenn | Sealed Chamber | Common | Lvl.30-40
Cave | Hoenn | Shoal Cave | Very Common | Lvl.31-34
Water | Hoenn | Shoal Cave | Common | Lvl.30-35
Cave | Hoenn | Sky Pillar | Common | Lvl.37-38
Cave | Hoenn | Victory Road | Very Common | Lvl.38-44
Water | Hoenn | Victory Road | Very Common | Lvl.30-40
Cave | Unova | Giant Chasm | Common | Lvl.47
Grass | Unova | Giant Chasm | Common | Lvl.48-50
Dark Grass | Unova | Giant Chasm | Common | Lvl.53-55
Grass | Unova | Route 13 | Common | Lvl.48-50
Dark Grass | Unova | Route 13 | Common | Lvl.53-55
Cave | Sinnoh | Iron Island | Uncommon | Lvl.31-33
Cave | Sinnoh | Mt. Coronet | Uncommon | Lvl.33-41
Water | Sinnoh | Mt. Coronet | Uncommon | Lvl.22-40
Grass | Sinnoh | Mt. Coronet (Night) | Uncommon | Lvl.38-39
Water | Sinnoh | Oreburgh Gate | Uncommon | Lvl.22-40
Water | Sinnoh | Ravaged Path | Uncommon | Lvl.22-40
Cave | Sinnoh | Route 209 | Rare | Lvl.22-23
Grass | Sinnoh | Route 227 (Night) | Uncommon | Lvl.51
Grass | Sinnoh | Sendoff Spring (Night) | Uncommon | Lvl.38
Cave | Sinnoh | Snowpoint Temple | Very Common | Lvl.50-56
Grass | Sinnoh | Stark Mountain (Night) | Uncommon | Lvl.51-54
Cave | Sinnoh | Stark Mountain | Uncommon | Lvl.54-56
Inside | Sinnoh | Turnback Cave | Common | Lvl.45-66
Cave | Sinnoh | Victory Road | Rare | Lvl.43-52
Water | Sinnoh | Victory Road | Very Common | Lvl.35-55"
43,Oddish,255,45,50%,50%,Plant,Absorb Bulb,"Grass | Kanto | Berry Forest | Rare | Lvl.41-43
Grass | Kanto | Bond Bridge | Uncommon | Lvl.40-42
Grass | Kanto | Cape Brink | Rare | Lvl.39-41
Grass | Kanto | Route 2 | Uncommon | Lvl.3-4
Grass | Kanto | Route 5 | Uncommon | Lvl.12-15
Grass | Kanto | Route 6 | Uncommon | Lvl.12-15
Grass | Kanto | Route 7 | Uncommon | Lvl.18-20
Grass | Kanto | Route 12 | Uncommon | Lvl.22-26
Grass | Kanto | Route 13 | Uncommon | Lvl.22-26
Grass | Kanto | Route 14 | Rare | Lvl.24-26
Grass | Kanto | Route 15 | Rare | Lvl.24-26
Grass | Kanto | Route 21 | Uncommon | Lvl.27-29
Grass | Kanto | Route 24 | Uncommon | Lvl.12-14
Grass | Kanto | Route 25 | Uncommon | Lvl.12-14
Grass | Kanto | Viridian Forest | Uncommon | Lvl.4-6
Grass | Kanto | Water Path | Rare | Lvl.48-50
Grass | Hoenn | Route 110 | Uncommon | Lvl.13
Grass | Hoenn | Route 117 | Uncommon | Lvl.14
Grass | Hoenn | Route 119 | Common | Lvl.24-27
Grass | Hoenn | Route 120 | Uncommon | Lvl.25-27
Grass | Hoenn | Route 121 | Uncommon | Lvl.27-29
Grass | Hoenn | Route 123 | Rare | Lvl.28-30
Grass | Hoenn | Safari Zone | Uncommon | Lvl.27-29
Grass | Sinnoh | Route 224 (Night) | Uncommon | Lvl.49
Grass | Sinnoh | Route 229 | Rare | Lvl.47-50
Grass | Sinnoh | Route 230 (Night) | Uncommon | Lvl.47"
44,Gloom,120,60,50%,50%,Plant,Absorb Bulb,"Grass | Kanto | Berry Forest | Uncommon | Lvl.43-45
Grass | Kanto | Bond Bridge | Uncommon | Lvl.42-44
Grass | Kanto | Cape Brink | Uncommon | Lvl.40-42
Grass | Kanto | Route 12 | Uncommon | Lvl.28-30
Grass | Kanto | Route 13 | Uncommon | Lvl.28-30
Grass | Kanto | Route 14 | Uncommon | Lvl.30
Grass | Kanto | Route 15 | Uncommon | Lvl.28-30
Grass | Kanto | Route 21 | Uncommon | Lvl.30-32
Grass | Kanto | Water Path | Uncommon | Lvl.48-50
Grass | Hoenn | Route 119 | Common | Lvl.25-27
Grass | Hoenn | Route 120 | Uncommon | Lvl.25-27
Grass | Hoenn | Route 121 | Uncommon | Lvl.28-30
Grass | Hoenn | Route 123 | Uncommon | Lvl.29-31
Grass | Hoenn | Safari Zone | Uncommon | Lvl.28-30
Grass | Sinnoh | Route 224 (Night) | Rare | Lvl.53
Grass | Sinnoh | Route 229 | Uncommon | Lvl.51-52
Grass | Sinnoh | Route 230 | Rare | Lvl.50"
46,Paras,190,35,50%,50%,"Bug, Plant","Tiny Mushroom, Big Mushroom","Cave | Kanto | Mt. Moon | Very Common | Lvl.8-12
Grass | Kanto | Safari Zone | Uncommon | Lvl.24-26"
47,Parasect,75,60,50%,50%,"Bug, Plant","Tiny Mushroom, Big Mushroom","Cave | Kanto | Cerulean Cave | Rare | Lvl.54-60
Grass | Kanto | Safari Zone | Rare | Lvl.30"
48,Venonat,190,60,50%,50%,Bug,None,"Grass | Kanto | Berry Forest | Uncommon | Lvl.41-43
Grass | Kanto | Bond Bridge | Uncommon | Lvl.40-42
Grass | Kanto | Route 9 (Night) | Uncommon | Lvl.14-17
Grass | Kanto | Route 10 (Night) | Rare | Lvl.14-17
Grass | Kanto | Route 12 | Common | Lvl.24-26
Grass | Kanto | Route 13 | Uncommon | Lvl.24-26
Grass | Kanto | Route 14 | Uncommon | Lvl.24-26
Grass | Kanto | Route 15 | Rare | Lvl.25-27
Grass | Kanto | Route 24 (Night) | Rare | Lvl.12-14
Grass | Kanto | Route 25 (Night) | Rare | Lvl.12-14
Grass | Kanto | Safari Zone | Rare | Lvl.24-26"
49,Venomoth,75,70,50%,50%,Bug,"Silver Powder, Shed Shell","Grass | Kanto | Berry Forest | Uncommon | Lvl.43-45
Cave | Kanto | Cerulean Cave (Night) | Rare | Lvl.54-58
Grass | Kanto | Route 13 (Night) | Rare | Lvl.31
Grass | Kanto | Route 14 (Night) | Rare | Lvl.31
Grass | Kanto | Route 15 | Uncommon | Lvl.31
Grass | Kanto | Safari Zone | Uncommon | Lvl.31
Cave | Kanto | Victory Road | Very Rare | Lvl.44-46
Dark Grass | Unova | Dreamyard (Night) | Uncommon | Lvl.48-50"
50,Diglett,255,10,50%,50%,Field,"Soft Sand, Energy Root","Cave | Kanto | Diglett's Cave | Very Common | Lvl.15-22
Grass | Sinnoh | Route 228 | Rare | Lvl.49"
51,Dugtrio,50,35,50%,50%,Field,"Soft Sand, Energy Root","Cave | Kanto | Diglett's Cave | Rare | Lvl.26
Grass | Sinnoh | Route 228 | Common | Lvl.50-52"
52,Meowth,255,40,50%,50%,Field,"Quick Claw, Amulet Coin","Grass | Kanto | Bond Bridge | Rare | Lvl.40-42
Grass | Kanto | Canyon Entrance | Common | Lvl.48-50
Grass | Kanto | Cape Brink | Uncommon | Lvl.39-41
Grass | Kanto | Five Isle Meadow | Common | Lvl.48-50
Grass | Kanto | Kindle Road | Uncommon | Lvl.36-38
Grass | Kanto | Route 5 | Common | Lvl.12-16
Grass | Kanto | Route 6 | Uncommon | Lvl.12-16
Grass | Kanto | Route 7 | Uncommon | Lvl.18-20
Grass | Kanto | Route 8 | Rare | Lvl.18-20
Grass | Kanto | Route 11 | Uncommon | Lvl.12-16
Grass | Kanto | Route 24 | Rare | Lvl.12
Grass | Kanto | Route 25 | Rare | Lvl.12
Grass | Kanto | Ruin Valley | Uncommon | Lvl.50-52
Grass | Kanto | Sevault Canyon | Uncommon | Lvl.50-52
Grass | Kanto | Treasure Beach | Uncommon | Lvl.36-38
Grass | Kanto | Water Path | Uncommon | Lvl.48-50"
53,Persian,90,65,50%,50%,Field,Quick Claw,"Grass | Kanto | Bond Bridge | Uncommon | Lvl.42-44
Grass | Kanto | Canyon Entrance | Common | Lvl.48-50
Grass | Kanto | Cape Brink | Uncommon | Lvl.41-43
Cave | Kanto | Cerulean Cave | Rare | Lvl.54-56
Grass | Kanto | Five Isle Meadow | Common | Lvl.48-50
Grass | Kanto | Kindle Road | Uncommon | Lvl.37-39
Grass | Kanto | Ruin Valley | Uncommon | Lvl.50-52
Grass | Kanto | Sevault Canyon | Uncommon | Lvl.50-52
Grass | Kanto | Treasure Beach | Uncommon | Lvl.37-39
Grass | Kanto | Water Path | Common | Lvl.48-50"
54,Psyduck,190,50,50%,50%,"Water A, Field",None,"Grass | Kanto | Berry Forest | Rare | Lvl.41-43
Water | Kanto | Berry Forest | Very Common | Lvl.30-40
Super Rod | Kanto | Berry Forest | Rare | Lvl.25-40
Grass | Kanto | Bond Bridge | Uncommon | Lvl.40-42
Super Rod | Kanto | Bond Bridge | Rare | Lvl.25-40
Grass | Kanto | Canyon Entrance | Uncommon | Lvl.48-50
Grass | Kanto | Cape Brink | Uncommon | Lvl.39-41
Water | Kanto | Cape Brink | Very Common | Lvl.30-40
Super Rod | Kanto | Cape Brink | Rare | Lvl.25-40
Water | Kanto | Celadon City | Very Common | Lvl.30-35
Water | Kanto | Cerulean Cave | Common | Lvl.47-50
Super Rod | Kanto | Cerulean Cave | Rare | Lvl.25-40
Super Rod | Kanto | Cerulean City | Rare | Lvl.25-40
Super Rod | Kanto | Cinnabar Island | Rare | Lvl.25-40
Super Rod | Kanto | Five Island | Rare | Lvl.25-40
Super Rod | Kanto | Five Isle Meadow | Rare | Lvl.25-40
Grass | Kanto | Five Isle Meadow | Uncommon | Lvl.48-50
Water | Kanto | Four Island | Common | Lvl.40-50
Super Rod | Kanto | Four Island | Rare | Lvl.25-40
Water | Kanto | Fuchsia City | Very Common | Lvl.30-35
Super Rod | Kanto | Fuchsia City | Rare | Lvl.25-40
Super Rod | Kanto | Green Path | Rare | Lvl.25-40
Super Rod | Kanto | Icefall Cave | Rare | Lvl.25-40
